Customer,Total loan,Interest,Years
Juha,1000,5,2
Karvinen,4356,1.27,6
Claes Månsson,1300.55,8.67,2
"Clarencé,Andersson",2000,6,4










.

sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
sam,100.00,55.00,3
dd,1.00,1.00,1
name,12.00,1.00,123
1223,1.12,12132123.10,1
1,1.00,1.00,1
12,22312.00,1.00,12456
231,2.00,333333.00,133
1,1.00,233.00,1
1,1.00,213.00,1
1,234.00,1.00,123
